City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Jumla,NP,2020-10-31 16:48:21,29.27,82.18,47.88,53,41,5.95
160,Kodiak,US,2020-10-31 16:48:21,57.79,-152.41,32.0,89,1,12.75
161,Tecoanapa,MX,2020-10-31 16:48:22,16.52,-98.75,86.49,60,4,3.62
162,Saint-Philippe,RE,2020-10-31 16:48:22,-21.36,55.77,68.0,64,40,4.7
163,Sur,OM,2020-10-31 16:48:22,22.57,59.53,72.52,56,0,2.93
164,Mehran,IR,2020-10-31 16:48:22,33.12,46.16,57.2,26,0,4.7
165,Mbuji-Mayi,CD,2020-10-31 16:48:22,-6.15,23.6,74.12,84,79,5.03
166,Brae,GB,2020-10-31 16:48:22,60.4,-1.35,53.6,93,100,43.62
167,Upernavik,GL,2020-10-31 16:48:22,72.79,-56.15,16.18,95,67,11.9
168,Tuatapere,NZ,2020-10-31 16:48:22,-46.13,167.68,46.99,86,2,5.99
169,Kloulklubed,PW,2020-10-31 16:48:23,7.04,134.26,84.2,74,90,10.29
170,Naze,JP,2020-10-31 16:48:23,28.37,129.48,69.8,68,17,6.93
171,Peniche,PT,2020-10-31 16:48:23,39.36,-9.38,69.01,79,72,5.99
172,Kinshasa,CD,2020-10-31 16:45:45,-4.32,15.32,87.8,52,20,5.82
173,Cacapava,BR,2020-10-31 16:48:23,-23.1,-45.71,69.8,77,90,3.36
174,Gobabis,NA,2020-10-31 16:48:23,-22.45,18.97,86.68,23,77,8.3
175,Chara,RU,2020-10-31 16:48:23,56.91,118.26,9.73,89,100,2.59
176,Paamiut,GL,2020-10-31 16:48:24,61.99,-49.67,28.11,89,81,17.67
177,Chhatapur,IN,2020-10-31 16:48:24,26.22,87.02,74.7,57,63,4.45
178,Dikson,RU,2020-10-31 16:48:24,73.51,80.55,16.7,97,100,15.41
179,Tautira,PF,2020-10-31 16:48:24,-17.73,-149.15,73.4,83,20,2.24
180,Athabasca,CA,2020-10-31 16:45:04,54.72,-113.29,26.6,86,18,6.93
181,Zhigansk,RU,2020-10-31 16:46:34,66.77,123.37,-9.33,89,85,1.05
182,Shorapur,IN,2020-10-31 16:48:24,16.52,76.75,73.62,64,0,8.7
183,Bourail,NC,2020-10-31 16:48:24,-21.57,165.48,73.69,78,70,7.85
184,Rolante,BR,2020-10-31 16:48:24,-29.65,-50.58,73.99,53,92,5.99
185,Hamilton,US,2020-10-31 16:45:04,39.18,-84.53,53.01,57,1,10.29
186,Cidreira,BR,2020-10-31 16:48:25,-30.18,-50.21,67.26,62,92,10.67
187,Toamasina,MG,2020-10-31 16:48:25,-18.17,49.38,69.8,94,75,9.17
188,Nelson Bay,AU,2020-10-31 16:48:25,-32.72,152.15,55.99,87,3,6.93
189,Dhidhdhoo,MV,2020-10-31 16:48:25,6.88,73.1,83.64,68,98,6.53
190,Teberda,RU,2020-10-31 16:48:25,43.45,41.74,50.13,67,58,5.37
191,Honningsvag,NO,2020-10-31 16:48:25,70.98,25.97,34.99,88,94,13.31
192,Paulo Afonso,BR,2020-10-31 16:48:25,-9.41,-38.21,98.91,25,94,4.97
193,Leshukonskoye,RU,2020-10-31 16:48:25,64.9,45.76,31.05,97,28,6.87
194,Durusu,TR,2020-10-31 16:48:25,41.31,28.68,59.0,67,75,12.75
195,Isangel,VU,2020-10-31 16:48:26,-19.55,169.27,75.0,81,71,16.06
196,Porto Velho,BR,2020-10-31 16:48:26,-8.76,-63.9,82.4,74,90,3.36
197,Cockburn Town,TC,2020-10-31 16:45:06,21.46,-71.14,86.0,66,40,14.99
198,Bambous Virieux,MU,2020-10-31 16:48:26,-20.34,57.76,69.8,77,40,14.99
199,Ancud,CL,2020-10-31 16:48:26,-41.87,-73.82,69.01,55,0,6.93
200,Bluefield,US,2020-10-31 16:44:29,37.27,-81.22,45.0,60,1,5.82
201,Sidi Ali,DZ,2020-10-31 16:48:26,36.1,0.42,68.2,57,55,5.28
202,Arkhangelskoye,RU,2020-10-31 16:48:26,55.85,35.33,40.66,93,60,6.67
203,Bunumbu,SL,2020-10-31 16:48:26,8.17,-10.87,88.43,56,81,1.43
204,Kodumudi,IN,2020-10-31 16:48:27,11.08,77.88,79.97,60,36,1.79
205,Hilo,US,2020-10-31 16:47:28,19.73,-155.09,73.4,73,40,6.93
206,Panguna,PG,2020-10-31 16:48:27,-6.32,155.48,67.87,100,87,1.19
207,Ixtapa,MX,2020-10-31 16:48:27,20.7,-105.2,84.99,66,5,2.24
208,Maltahohe,NA,2020-10-31 16:48:27,-24.83,16.98,83.21,14,75,18.81
209,Havre-Saint-Pierre,CA,2020-10-31 16:48:27,50.23,-63.6,30.2,58,0,17.22
210,Coquimbo,CL,2020-10-31 16:48:22,-29.95,-71.34,55.4,82,90,8.05
211,Katsuura,JP,2020-10-31 16:48:27,35.13,140.3,53.6,71,0,9.17
212,Sioux Lookout,CA,2020-10-31 16:48:27,50.1,-91.92,39.2,69,90,18.34
213,Puerto Leguizamo,CO,2020-10-31 16:48:27,-0.19,-74.78,86.61,63,100,4.72
214,Kjollefjord,NO,2020-10-31 16:48:28,70.95,27.35,33.31,92,82,10.29
215,Nageshwari,BD,2020-10-31 16:48:28,25.94,89.71,77.05,83,36,5.37
216,Sibu,MY,2020-10-31 16:48:28,2.3,111.82,77.0,94,40,4.7
217,Krasnoselkup,RU,2020-10-31 16:48:28,65.7,82.47,34.92,99,100,21.12
218,Tairua,NZ,2020-10-31 16:48:28,-37.02,175.85,64.0,77,60,13.0
219,Salina,US,2020-10-31 16:48:28,38.84,-97.61,62.01,41,1,24.16
220,Springbok,ZA,2020-10-31 16:48:28,-29.66,17.89,73.76,20,0,13.49
221,Hithadhoo,MV,2020-10-31 16:48:28,-0.6,73.08,83.93,70,95,7.61
222,Poum,NC,2020-10-31 16:48:28,-20.23,164.02,77.25,81,69,22.95
223,Prince Rupert,CA,2020-10-31 16:45:04,54.32,-130.32,46.4,87,90,13.87
224,Vila Franca Do Campo,PT,2020-10-31 16:48:29,37.72,-25.43,69.8,94,75,14.99
225,Kidal,ML,2020-10-31 16:48:29,18.44,1.41,89.08,12,8,12.1
226,Ribeira Grande,PT,2020-10-31 16:48:29,38.52,-28.7,69.8,94,75,18.34
227,Kumluca,TR,2020-10-31 16:48:29,36.37,30.29,68.45,67,4,3.31
228,Muisne,EC,2020-10-31 16:48:29,0.6,-80.03,84.2,79,20,8.05
229,Inhambane,MZ,2020-10-31 16:48:29,-23.86,35.38,77.0,69,20,11.41
230,Matamoros,MX,2020-10-31 16:48:29,25.53,-103.25,68.0,32,5,1.43
231,Muscat,OM,2020-10-31 16:48:30,23.61,58.59,77.0,65,0,3.36
232,Majenang,ID,2020-10-31 16:48:30,-7.3,108.76,75.45,88,88,2.33
233,Mikulcice,CZ,2020-10-31 16:48:30,48.82,17.05,55.0,91,82,2.68
234,Haines Junction,CA,2020-10-31 16:44:08,60.75,-137.51,14.0,78,100,2.24
235,Kamenka,RU,2020-10-31 16:48:30,51.32,42.77,50.04,93,100,9.55
236,Katherine,AU,2020-10-31 16:48:30,-14.47,132.27,86.0,40,0,6.93
237,Tazovskiy,RU,2020-10-31 16:48:30,67.47,78.7,34.21,99,100,11.7
238,Rawson,AR,2020-10-31 16:48:30,-43.3,-65.1,74.84,22,0,10.47
239,Madisonville,US,2020-10-31 16:48:31,37.33,-87.5,57.2,50,1,5.82
240,Dayong,CN,2020-10-31 16:48:31,25.02,118.29,69.8,60,0,8.95
241,Nova Gradiska,HR,2020-10-31 16:48:31,45.26,17.38,55.4,66,0,2.24
242,Luanda,AO,2020-10-31 16:48:31,-8.84,13.23,82.4,74,20,10.29
243,Saldanha,ZA,2020-10-31 16:48:31,-33.01,17.94,73.4,35,0,19.46
244,Bilibino,RU,2020-10-31 16:48:31,68.05,166.44,-1.39,85,21,2.26
245,Dauphin,CA,2020-10-31 16:48:31,51.15,-100.05,28.4,63,90,24.16
246,Wanning,CN,2020-10-31 16:48:31,18.8,110.4,73.33,85,27,8.7
247,Gonbad-E Qabus,IR,2020-10-31 16:48:32,37.25,55.17,71.6,37,0,4.7
248,Folkestone,GB,2020-10-31 16:48:32,51.08,1.18,55.0,96,80,13.0
249,Kiama,AU,2020-10-31 16:48:32,-34.68,150.87,62.01,88,64,5.01
250,Naantali,FI,2020-10-31 16:48:32,60.47,22.02,44.6,93,90,9.17
251,Yining,CN,2020-10-31 16:48:32,29.04,114.56,59.97,90,100,1.83
252,Yellowknife,CA,2020-10-31 16:45:04,62.46,-114.35,19.4,85,90,17.22
253,Guerrero Negro,MX,2020-10-31 16:48:32,27.98,-114.06,74.59,41,23,2.93
254,Toktogul,KG,2020-10-31 16:48:32,41.87,72.94,45.84,43,0,2.37
255,Dabakala,CI,2020-10-31 16:48:32,8.37,-4.43,87.98,54,42,4.72
256,Aykino,RU,2020-10-31 16:48:32,62.22,49.99,32.61,94,54,6.76
257,Kibondo,TZ,2020-10-31 16:48:33,-3.59,30.72,66.27,86,85,3.58
258,Samana,DO,2020-10-31 16:48:33,19.21,-69.34,77.0,94,75,6.93
259,Port Elizabeth,ZA,2020-10-31 16:48:33,-33.92,25.57,66.2,72,75,5.82
260,Aksu,CN,2020-10-31 16:48:33,41.12,80.26,44.19,56,0,4.76
261,Tessalit,ML,2020-10-31 16:48:33,20.2,1.01,89.2,12,24,8.39
262,Kokstad,ZA,2020-10-31 16:48:33,-30.55,29.42,53.76,90,100,3.56
263,Dubbo,AU,2020-10-31 16:48:33,-32.25,148.62,50.0,93,75,1.12
