City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Tiksi,RU,71.69,128.87,-6.52,90,0,6.67,clear sky
264,Haines Junction,CA,60.75,-137.51,10.4,72,100,4.7,overcast clouds
265,Whitehorse,CA,60.72,-135.05,8.01,71,90,9.17,light snow
266,Port Macquarie,AU,-31.43,152.92,64.0,75,98,4.0,overcast clouds
267,San Isidro,PE,-12.12,-77.05,68.0,68,75,9.17,broken clouds
268,Porto Murtinho,BR,-21.7,-57.88,89.62,29,2,8.41,clear sky
269,Khanpur,PK,28.65,70.66,65.55,23,0,4.9,clear sky
270,Moussoro,TD,13.64,16.49,85.42,18,8,15.01,clear sky
271,Coihaique,CL,-45.58,-72.07,78.8,21,0,8.05,clear sky
272,Touros,BR,-5.2,-35.46,84.2,70,40,17.22,scattered clouds
273,Vytegra,RU,61.01,36.45,30.65,95,0,6.38,clear sky
274,Abu Dhabi,AE,24.47,54.37,82.4,65,0,3.36,clear sky
275,Mao,ES,39.89,4.27,60.8,87,20,5.82,few clouds
276,Machico,PT,32.7,-16.77,69.8,83,20,4.7,few clouds
277,Graaff-Reinet,ZA,-32.25,24.53,64.99,64,0,3.0,clear sky
278,Mangrol,IN,21.12,70.12,79.09,39,31,12.44,scattered clouds
279,Lac Du Bonnet,CA,50.25,-96.06,30.0,63,61,21.92,broken clouds
280,Te Anau,NZ,-45.42,167.72,44.67,83,100,2.3,overcast clouds
281,Wajima,JP,37.4,136.9,62.89,81,100,20.0,light rain
282,Ossora,RU,59.24,163.07,32.29,94,76,3.76,broken clouds
283,Oeiras,BR,-7.03,-42.13,88.93,50,78,3.51,broken clouds
284,Saint Albans,GB,51.75,-0.33,62.01,93,90,21.92,haze
285,Daru,PG,-9.08,143.21,80.67,84,99,13.35,overcast clouds
286,Kahului,US,20.89,-156.47,84.2,62,20,5.82,few clouds
287,Port Hardy,CA,50.7,-127.42,51.8,76,75,9.17,broken clouds
288,Pajapan,MX,18.25,-94.7,80.6,78,90,19.46,haze
289,Port Moresby,PG,-9.44,147.18,77.0,94,40,5.82,scattered clouds
290,Baruun-Urt,MN,46.68,113.28,14.86,81,12,8.7,few clouds
291,Kokstad,ZA,-30.55,29.42,51.51,91,100,3.29,light rain
292,Bobrovytsya,UA,50.75,31.38,46.0,93,90,6.71,overcast clouds
293,Sharjah,AE,25.36,55.4,78.8,69,0,4.7,haze
294,Mar Del Plata,AR,-38.0,-57.56,66.2,59,0,9.17,clear sky
295,Jacareacanga,BR,-6.22,-57.75,75.49,94,96,5.68,heavy intensity rain
296,San Vicente,AR,-26.62,-54.13,75.45,40,85,4.0,overcast clouds
297,Mnogovershinnyy,RU,53.94,139.92,31.89,99,99,1.28,overcast clouds
298,Namatanai,PG,-3.67,152.43,80.42,80,100,5.03,overcast clouds
299,Yakima,US,46.47,-120.67,57.0,37,1,2.55,clear sky
300,Ilulissat,GL,69.22,-51.1,19.4,62,100,9.17,overcast clouds
301,Santiago,CL,-33.46,-70.65,81.0,34,0,10.29,clear sky
302,Antalaha,MG,-14.9,50.28,67.96,75,22,8.21,few clouds
303,Seminole,US,28.71,-81.21,82.99,65,75,13.87,broken clouds
304,Aksu,CN,41.12,80.26,40.41,59,0,2.62,clear sky
305,La Ronge,CA,55.1,-105.28,41.0,65,100,5.82,overcast clouds
306,Atikokan,CA,48.76,-91.62,27.23,81,0,10.54,clear sky
307,Corner Brook,CA,48.97,-57.95,42.8,52,40,12.75,scattered clouds
308,Cabedelo,BR,-6.98,-34.83,82.4,74,40,11.41,scattered clouds
309,Mizan Teferi,ET,6.98,35.58,62.82,90,100,2.1,overcast clouds
310,Vestmannaeyjar,IS,63.44,-20.27,37.4,74,0,16.11,clear sky
311,Ahipara,NZ,-35.17,173.17,66.07,81,100,6.2,overcast clouds
312,Luderitz,NA,-26.65,15.16,66.81,48,79,12.17,broken clouds
313,Lebu,CL,-37.62,-73.65,57.83,79,7,5.35,clear sky
314,Talnakh,RU,69.49,88.4,21.2,85,100,17.9,light snow
315,Saint George,US,37.1,-113.58,64.4,15,1,3.06,clear sky
316,Pietersburg,ZA,-23.9,29.47,60.8,82,32,1.12,scattered clouds
317,Shchors,UA,51.82,31.95,44.26,92,100,10.13,overcast clouds
318,Pemangkat,ID,1.17,108.97,79.56,82,61,5.32,light rain
319,Agropoli,IT,40.35,15.0,62.01,78,98,1.01,overcast clouds
320,Boguchany,RU,58.38,97.45,29.71,97,100,8.9,overcast clouds
321,Salta,AR,-24.79,-65.41,78.8,22,20,11.41,few clouds
322,Shirokiy,RU,49.76,129.52,26.44,98,100,6.96,light snow
323,Agirish,RU,61.92,63.02,26.19,97,0,8.25,clear sky
324,Kotelnich,RU,58.31,48.35,28.85,95,0,4.38,clear sky
325,Port Hedland,AU,-20.32,118.57,71.6,83,12,4.7,few clouds
326,Iracoubo,GF,5.48,-53.2,83.79,72,100,12.8,overcast clouds
327,Durusu,TR,41.31,28.68,50.0,71,0,5.82,clear sky
328,Morant Bay,JM,17.88,-76.41,84.2,74,75,17.22,shower rain
329,Dafeng,CN,23.45,108.59,70.14,71,100,6.64,overcast clouds
330,Namtsy,RU,62.72,129.67,-22.0,74,40,4.47,mist
331,Broken Hill,AU,-31.95,141.43,59.0,62,0,6.93,clear sky
332,Ceuta,ES,35.89,-5.31,62.6,93,0,2.24,clear sky
333,New Norfolk,AU,-42.78,147.06,52.0,80,100,1.92,overcast clouds
334,Kardla,EE,59.0,22.75,46.99,83,70,8.99,broken clouds
335,Barreirinha,BR,-2.79,-57.07,95.25,36,70,2.84,broken clouds
336,Kerouane,GN,9.27,-9.02,74.71,57,2,2.51,clear sky
337,Padang,ID,-0.95,100.35,78.24,72,100,2.71,overcast clouds
338,Orlik,RU,52.52,99.83,9.99,85,58,3.04,broken clouds
339,Ostrovnoy,RU,68.05,39.51,36.48,90,100,19.35,overcast clouds
340,Kysyl-Syr,RU,63.9,122.76,-2.56,91,38,6.44,scattered clouds
341,Dzhebariki-Khaya,RU,62.22,135.8,-10.82,88,0,2.26,clear sky
342,Butembo,CD,0.15,29.28,58.19,99,94,3.22,light rain
343,Ugoofaaru,MV,5.67,73.0,82.31,72,28,6.33,scattered clouds
