City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Kahului,US,84.2,few clouds,20.89,-156.47,Maui Seaside Hotel
288,Pajapan,MX,80.6,haze,18.25,-94.7,Hotel Del Carmen
289,Port Moresby,PG,77.0,scattered clouds,-9.44,147.18,Lamana Hotel
293,Sharjah,AE,78.8,haze,25.36,55.4,Swiss Belhotel Sharjah
295,Jacareacanga,BR,75.49,heavy intensity rain,-6.22,-57.75,Casa do Ian😎
296,San Vicente,AR,75.45,overcast clouds,-26.62,-54.13,Complejo Turístico Farelluk
298,Namatanai,PG,80.42,overcast clouds,-3.67,152.43,Namatanai Hotel
301,Santiago,CL,81.0,clear sky,-33.46,-70.65,Hotel Panamericano
303,Seminole,US,82.99,broken clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
308,Cabedelo,BR,82.4,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
318,Pemangkat,ID,79.56,light rain,1.17,108.97,Kost H.Syamsuddin
321,Salta,AR,78.8,few clouds,-24.79,-65.41,Hotel Alejandro I
325,Port Hedland,AU,71.6,few clouds,-20.32,118.57,The Esplanade Hotel
326,Iracoubo,GF,83.79,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
328,Morant Bay,JM,84.2,shower rain,17.88,-76.41,Whispering Bamboo Cove Resort
329,Dafeng,CN,70.14,overcast clouds,23.45,108.59,Shenglong Hotel
336,Kerouane,GN,74.71,clear sky,9.27,-9.02,
337,Padang,ID,78.24,overcast clouds,-0.95,100.35,Mercure Padang
343,Ugoofaaru,MV,82.31,scattered clouds,5.67,73.0,Ungoofaaru Inn
345,Lindsay,US,80.01,haze,36.2,-119.09,Lindsay Inn
346,Sakakah,SA,75.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
347,Tayu,ID,77.74,light rain,-6.54,111.05,Toko pakaian bu is Tayu
348,Pangai,TO,77.0,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
349,Maningrida,AU,75.78,broken clouds,-12.07,134.27,Dhukurrdji Lodge
351,Maragogi,BR,78.58,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
353,Ipiau,BR,74.07,overcast clouds,-14.14,-39.73,Pousada Boa Vida
356,Sao Filipe,CV,79.23,scattered clouds,14.9,-24.5,Tortuga B&B
